symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ATOM,2016-11-25 00:00:00+00:00,7.05,7.05,6.66,6.66,531,7.05,7.05,6.66,6.66,531,0.0,1.0
ATOM,2016-11-28 00:00:00+00:00,6.6,6.64,6.6,6.61,1922,6.6,6.64,6.6,6.61,1922,0.0,1.0
ATOM,2016-11-29 00:00:00+00:00,6.98,6.9869,6.6,6.654,9195,6.98,6.9869,6.6,6.654,9195,0.0,1.0
ATOM,2016-11-30 00:00:00+00:00,6.75,6.8507,6.5,6.62,4500,6.75,6.8507,6.5,6.62,4500,0.0,1.0
ATOM,2016-12-01 00:00:00+00:00,6.52,6.8112,6.52,6.81,3833,6.52,6.8112,6.52,6.81,3833,0.0,1.0
ATOM,2016-12-02 00:00:00+00:00,6.88,6.88,6.88,6.88,122,6.88,6.88,6.88,6.88,122,0.0,1.0
ATOM,2016-12-05 00:00:00+00:00,6.5,6.787,6.5,6.787,4257,6.5,6.787,6.5,6.787,4257,0.0,1.0
ATOM,2016-12-06 00:00:00+00:00,6.5117,6.5117,6.5,6.5001,3072,6.5117,6.5117,6.5,6.5001,3072,0.0,1.0
ATOM,2016-12-07 00:00:00+00:00,6.8238,6.8238,6.5,6.51,2907,6.8238,6.8238,6.5,6.51,2907,0.0,1.0
ATOM,2016-12-08 00:00:00+00:00,6.797,6.8,6.45,6.79,8168,6.797,6.8,6.45,6.79,8168,0.0,1.0
ATOM,2016-12-09 00:00:00+00:00,6.9999,7.05,6.82,6.82,16420,6.9999,7.05,6.82,6.82,16420,0.0,1.0
ATOM,2016-12-12 00:00:00+00:00,7.01,7.02,6.91,6.91,9259,7.01,7.02,6.91,6.91,9259,0.0,1.0
ATOM,2016-12-13 00:00:00+00:00,7.05,7.05,6.99,7.02,2981,7.05,7.05,6.99,7.02,2981,0.0,1.0
ATOM,2016-12-14 00:00:00+00:00,6.9,7.3089,6.77,7.05,24354,6.9,7.3089,6.77,7.05,24354,0.0,1.0
ATOM,2016-12-15 00:00:00+00:00,7.0,7.0,7.0,7.0,220,7.0,7.0,7.0,7.0,220,0.0,1.0
ATOM,2016-12-16 00:00:00+00:00,6.8,6.97,6.5976,6.97,7724,6.8,6.97,6.5976,6.97,7724,0.0,1.0
ATOM,2016-12-19 00:00:00+00:00,6.8,6.82,6.8,6.82,9286,6.8,6.82,6.8,6.82,9286,0.0,1.0
ATOM,2016-12-20 00:00:00+00:00,6.46,6.8,6.46,6.8,9796,6.46,6.8,6.46,6.8,9796,0.0,1.0
ATOM,2016-12-21 00:00:00+00:00,6.0001,6.59,6.0,6.59,17865,6.0001,6.59,6.0,6.59,17865,0.0,1.0
ATOM,2016-12-22 00:00:00+00:00,6.1,6.65,6.03,6.58,9923,6.1,6.65,6.03,6.58,9923,0.0,1.0
ATOM,2016-12-23 00:00:00+00:00,6.0,6.3,6.0,6.3,18808,6.0,6.3,6.0,6.3,18808,0.0,1.0
ATOM,2016-12-27 00:00:00+00:00,6.2528,6.271,6.0,6.0001,10535,6.2528,6.271,6.0,6.0001,10535,0.0,1.0
ATOM,2016-12-28 00:00:00+00:00,6.29,6.51,6.02,6.5099,8601,6.29,6.51,6.02,6.5099,8601,0.0,1.0
ATOM,2016-12-29 00:00:00+00:00,6.52,6.52,6.25,6.2501,2123,6.52,6.52,6.25,6.2501,2123,0.0,1.0
ATOM,2016-12-30 00:00:00+00:00,6.75,6.75,6.4597,6.5985,7400,6.75,6.75,6.4597,6.5985,7400,0.0,1.0
ATOM,2017-01-03 00:00:00+00:00,6.58,6.88,6.21,6.78,12091,6.58,6.88,6.21,6.78,12091,0.0,1.0
ATOM,2017-01-04 00:00:00+00:00,6.575,7.0,6.27,6.4,11666,6.575,7.0,6.27,6.4,11666,0.0,1.0
ATOM,2017-01-05 00:00:00+00:00,6.21,6.34,6.21,6.3,3711,6.21,6.34,6.21,6.3,3711,0.0,1.0
ATOM,2017-01-06 00:00:00+00:00,6.22,6.7,6.21,6.35,8072,6.22,6.7,6.21,6.35,8072,0.0,1.0
ATOM,2017-01-09 00:00:00+00:00,6.03,6.22,6.01,6.0201,10754,6.03,6.22,6.01,6.0201,10754,0.0,1.0
ATOM,2017-01-10 00:00:00+00:00,6.15,6.2,6.0,6.021,28190,6.15,6.2,6.0,6.021,28190,0.0,1.0
ATOM,2017-01-11 00:00:00+00:00,6.0,6.07,6.0,6.0437,4074,6.0,6.07,6.0,6.0437,4074,0.0,1.0
ATOM,2017-01-12 00:00:00+00:00,6.04,6.1838,5.9564,6.15,20776,6.04,6.1838,5.9564,6.15,20776,0.0,1.0
ATOM,2017-01-13 00:00:00+00:00,6.0,6.2032,6.0,6.0,8457,6.0,6.2032,6.0,6.0,8457,0.0,1.0
ATOM,2017-01-17 00:00:00+00:00,5.87,5.9,5.51,5.8,19778,5.87,5.9,5.51,5.8,19778,0.0,1.0
ATOM,2017-01-18 00:00:00+00:00,6.04,6.0407,5.5,6.0407,85543,6.04,6.0407,5.5,6.0407,85543,0.0,1.0
ATOM,2017-01-19 00:00:00+00:00,6.03,6.0343,5.94,6.0343,4066,6.03,6.0343,5.94,6.0343,4066,0.0,1.0
ATOM,2017-01-20 00:00:00+00:00,6.22,6.22,5.6981,5.6981,9573,6.22,6.22,5.6981,5.6981,9573,0.0,1.0
ATOM,2017-01-23 00:00:00+00:00,6.04,6.22,5.91,6.22,3969,6.04,6.22,5.91,6.22,3969,0.0,1.0
ATOM,2017-01-24 00:00:00+00:00,5.88,6.5677,5.76,5.76,101902,5.88,6.5677,5.76,5.76,101902,0.0,1.0
ATOM,2017-01-25 00:00:00+00:00,5.75,5.93,5.7396,5.93,4376,5.75,5.93,5.7396,5.93,4376,0.0,1.0
ATOM,2017-01-26 00:00:00+00:00,5.92,5.92,5.7,5.8,3276,5.92,5.92,5.7,5.8,3276,0.0,1.0
