symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
KSM,2016-11-25 00:00:00+00:00,12.08,12.23,12.08,12.17,26013,9.3139070682,9.4295598878,9.3139070682,9.38329876,26013,0.0,1.0
KSM,2016-11-28 00:00:00+00:00,12.16,12.16,12.11,12.11,19790,9.375588572,9.375588572,9.3370376322,9.3370376322,19790,0.0,1.0
KSM,2016-11-29 00:00:00+00:00,12.13,12.18,12.08,12.18,52955,9.3524580081,9.3910089479,9.3139070682,9.3910089479,52955,0.0,1.0
KSM,2016-11-30 00:00:00+00:00,12.08,12.14,12.04,12.09,45077,9.3139070682,9.3601681961,9.2830663164,9.3216172562,45077,0.0,1.0
KSM,2016-12-01 00:00:00+00:00,12.0,12.0699,11.94,12.03,61580,9.2522255645,9.3061197784,9.2059644367,9.2753561284,61580,0.0,1.0
KSM,2016-12-02 00:00:00+00:00,11.94,12.04,11.91,12.04,46600,9.2059644367,9.2830663164,9.1828338727,9.2830663164,46600,0.0,1.0
KSM,2016-12-05 00:00:00+00:00,11.88,11.93,11.88,11.93,43933,9.1597033088,9.1982542487,9.1597033088,9.1982542487,43933,0.0,1.0
KSM,2016-12-06 00:00:00+00:00,11.97,12.0,11.86,11.9,43292,9.2290950006,9.2522255645,9.1442829329,9.1751236848,43292,0.0,1.0
KSM,2016-12-07 00:00:00+00:00,12.21,12.23,12.03,12.05,65871,9.4141395119,9.4295598878,9.2753561284,9.2907765043,65871,0.0,1.0
KSM,2016-12-08 00:00:00+00:00,12.18,12.25,12.11,12.25,52091,9.3910089479,9.4449802637,9.3370376322,9.4449802637,52091,0.0,1.0
KSM,2016-12-09 00:00:00+00:00,12.1,12.12,12.03,12.09,41944,9.3293274442,9.3447478201,9.2753561284,9.3216172562,41944,0.0,1.0
KSM,2016-12-12 00:00:00+00:00,11.94,12.1,11.94,12.1,36368,9.2059644367,9.3293274442,9.2059644367,9.3293274442,36368,0.0,1.0
KSM,2016-12-13 00:00:00+00:00,12.09,12.11,11.96,12.01,24769,9.3216172562,9.3370376322,9.2213848126,9.2599357525,24769,0.0,1.0
KSM,2016-12-14 00:00:00+00:00,12.16,12.18,12.1352,12.17,61642,9.375588572,9.3910089479,9.3564673058,9.38329876,61642,0.0,1.0
KSM,2016-12-15 00:00:00+00:00,11.97,12.0608,11.93,12.06,58460,9.3002600355,9.370808374,9.2691814723,9.3701868027,58460,0.0923,1.0
KSM,2016-12-16 00:00:00+00:00,12.02,12.05,11.94,11.94,47655,9.3391082395,9.3624171619,9.2769511131,9.2769511131,47655,0.0,1.0
KSM,2016-12-19 00:00:00+00:00,12.06,12.06,12.0,12.0,21569,9.3701868027,9.3701868027,9.3235689579,9.3235689579,21569,0.0,1.0
KSM,2016-12-20 00:00:00+00:00,11.92,12.06,11.89,11.99,102717,9.2614118315,9.3701868027,9.2381029092,9.3157993171,102717,0.0,1.0
KSM,2016-12-21 00:00:00+00:00,12.01,12.01,11.91,11.91,59539,9.3313385987,9.3313385987,9.2536421907,9.2536421907,59539,0.0,1.0
KSM,2016-12-22 00:00:00+00:00,11.96,12.01,11.94,12.01,51922,9.2924903947,9.3313385987,9.2769511131,9.3313385987,51922,0.0,1.0
KSM,2016-12-23 00:00:00+00:00,11.98,12.0,11.94,12.0,30972,9.3080296763,9.3235689579,9.2769511131,9.3235689579,30972,0.0,1.0
KSM,2016-12-27 00:00:00+00:00,11.98,12.14,11.95,12.14,38739,9.3080296763,9.4323439291,9.2847207539,9.4323439291,38739,0.0,1.0
KSM,2016-12-28 00:00:00+00:00,12.01,12.03,11.92,11.93,76240,9.3313385987,9.3468778803,9.2614118315,9.2691814723,76240,0.0,1.0
KSM,2016-12-29 00:00:00+00:00,12.12,12.12,12.0,12.04,64689,9.4168046475,9.4168046475,9.3235689579,9.3546475211,64689,0.0,1.0
KSM,2016-12-30 00:00:00+00:00,12.14,12.24,12.0837,12.16,54109,9.4323439291,9.5100403371,9.3886008514,9.4478832107,54109,0.0,1.0
KSM,2017-01-03 00:00:00+00:00,12.26,12.26,12.08,12.09,22821,9.5255796187,9.5255796187,9.3857260843,9.3934957251,22821,0.0,1.0
KSM,2017-01-04 00:00:00+00:00,12.43,12.43,12.3,12.34,39502,9.6576635123,9.6576635123,9.5566581819,9.5877367451,39502,0.0,1.0
KSM,2017-01-05 00:00:00+00:00,12.46,12.47,12.4125,12.47,19727,9.6809724347,9.6887420755,9.6440666409,9.6887420755,19727,0.0,1.0
KSM,2017-01-06 00:00:00+00:00,12.44,12.47,12.3007,12.47,46168,9.6654331531,9.6887420755,9.5572020567,9.6887420755,46168,0.0,1.0
KSM,2017-01-09 00:00:00+00:00,12.39,12.52,12.36,12.52,23690,9.6265849491,9.7275902794,9.6032760267,9.7275902794,23690,0.0,1.0
KSM,2017-01-10 00:00:00+00:00,12.425,12.43,12.4,12.42,27669,9.6537786919,9.6576635123,9.6343545899,9.6498938715,27669,0.0,1.0
KSM,2017-01-11 00:00:00+00:00,12.42,12.5172,12.4,12.51,7595,9.6498938715,9.72541478,9.6343545899,9.7198206386,7595,0.0,1.0
KSM,2017-01-12 00:00:00+00:00,12.47,12.51,12.46,12.51,20802,9.6887420755,9.7198206386,9.6809724347,9.7198206386,20802,0.0,1.0
KSM,2017-01-13 00:00:00+00:00,12.43,12.52,12.43,12.5,22588,9.6576635123,9.7275902794,9.6576635123,9.7120509978,22588,0.0,1.0
KSM,2017-01-17 00:00:00+00:00,12.38,12.4335,12.37,12.41,25723,9.6634907429,9.7052513854,9.6556850153,9.6869079256,25723,0.0575,1.0
KSM,2017-01-18 00:00:00+00:00,12.4,12.4,12.32,12.37,15042,9.679102198,9.679102198,9.6166563774,9.6556850153,15042,0.0,1.0
KSM,2017-01-19 00:00:00+00:00,12.29,12.42,12.21,12.4,60548,9.5932391946,9.6947136532,9.530793374,9.679102198,60548,0.0,1.0
KSM,2017-01-20 00:00:00+00:00,12.27,12.38,12.22,12.38,23555,9.5776277395,9.6634907429,9.5385991016,9.6634907429,23555,0.0,1.0
